series_name,index,target,pred,model,AE,SE,TUE,APE,Paradigm,Phase
co2_levels,29,317.22,317.5539516840615,RF_PADT-B,0.3339516840614465,0.11152372728747617,,0.0010527447325561013,offline,train
co2_levels,30,317.1,317.33296840504414,RF_PADT-B,0.23296840504411875,0.05427427774880058,,0.0007346843426178453,offline,train
co2_levels,31,316.85,317.18585572391424,RF_PADT-B,0.33585572391422147,0.11279906728594576,,0.001059983348316937,offline,train
co2_levels,32,316.89,316.9622941922534,RF_PADT-B,0.07229419225342326,0.005226450233574924,,0.00022813655291559616,offline,train
co2_levels,33,316.96,317.00692187044893,RF_PADT-B,0.046921870448954905,0.0022016619264285074,,0.0001480371985391056,offline,train
co2_levels,34,316.84,317.04844345013123,RF_PADT-B,0.20844345013125576,0.043448671902621305,,0.0006578823700645618,offline,train
co2_levels,35,317.05,316.97046570002686,RF_PADT-B,0.07953429997314743,0.006325704872218599,,0.0002508572779471611,offline,train
co2_levels,36,317.25,317.1698895142646,RF_PADT-B,0.08011048573541757,0.006417689924764542,,0.00025251532146703727,offline,train
co2_levels,37,317.16,317.31855342455583,RF_PADT-B,0.15855342455580512,0.025139188438373386,,0.0004999162080836332,offline,train
co2_levels,38,317.73,317.3563361345311,RF_PADT-B,0.37366386546892727,0.1396246843571806,,0.0011760421284390118,offline,train
co2_levels,39,317.61,317.72627731938746,RF_PADT-B,0.11627731938745,0.013520415003931058,,0.0003661009394775039,offline,train
co2_levels,40,317.89,317.7291262608899,RF_PADT-B,0.16087373911005898,0.02588035993525132,,0.0005060673160843656,offline,train
co2_levels,41,318.09,317.91471520788104,RF_PADT-B,0.17528479211893,0.030724758348176503,,0.0005510540794081236,offline,train
co2_levels,42,317.92,318.20836757722134,RF_PADT-B,0.28836757722132234,0.0831558595924953,,0.0009070444678577073,offline,train
co2_levels,43,318.34,318.08709019240627,RF_PADT-B,0.25290980759370996,0.06396337077708739,,0.0007944644329764088,offline,train
co2_levels,44,318.0,318.2963035115304,RF_PADT-B,0.2963035115304251,0.08779577094526077,,0.0009317720488378149,offline,train
co2_levels,45,317.78,318.14650129225856,RF_PADT-B,0.3665012922585902,0.13432319722721653,,0.0011533176797110902,offline,train
co2_levels,46,317.89,317.90427509536295,RF_PADT-B,0.014275095362961565,0.00020377834762164677,,4.49057704330478e-05,offline,train
co2_levels,47,317.89,317.9774766258115,RF_PADT-B,0.08747662581151872,0.007652160063368462,,0.00027517891664260817,offline,train
co2_levels,48,318.39,318.0254121895293,RF_PADT-B,0.36458781047070943,0.13292427154382594,,0.001145098182953954,offline,train
co2_levels,49,318.24,318.40538838600645,RF_PADT-B,0.16538838600644112,0.02735331822581557,,0.0005196970399900739,offline,train
co2_levels,50,318.16,318.36048164444213,RF_PADT-B,0.2004816444421067,0.040192889758211295,,0.0006301283770496187,offline,train
