series_name,index,target,pred,model,AE,SE,TUE,APE,Paradigm,Phase
co2_levels,29,317.22,317.64326176428466,PADT-A,0.42326176428463214,0.1791505211053395,,0.0013342846109470781,offline,train
co2_levels,30,317.1,317.3275388391977,PADT-A,0.2275388391976776,0.05177392334342658,,0.0007175617760885449,offline,train
co2_levels,31,316.85,317.20335549211586,PADT-A,0.3533554921158384,0.12486010380842633,,0.001115213798692878,offline,train
co2_levels,32,316.89,316.95106211865135,PADT-A,0.06106211865136402,0.0037285823341932575,,0.00019269184465071167,offline,train
co2_levels,33,316.96,316.9901722269004,PADT-A,0.030172226900447185,0.0009103632761320688,,9.519253817657493e-05,offline,train
co2_levels,34,316.84,317.0626001937846,PADT-A,0.22260019378461493,0.04955084627294812,,0.0007025634193429332,offline,train
co2_levels,35,317.05,316.9457961198527,PADT-A,0.10420388014733817,0.010858448637760818,,0.0003286670245934022,offline,train
co2_levels,36,317.25,316.958524056052,PADT-A,0.2914759439480008,0.0849582259003781,,0.0009187579005453139,offline,train
co2_levels,37,317.16,317.20380871814416,PADT-A,0.04380871814413467,0.0019192037854322344,,0.00013812813136629672,offline,train
co2_levels,38,317.73,317.2628376289304,PADT-A,0.46716237106960534,0.21824068094337565,,0.001470312438452791,offline,train
co2_levels,39,317.61,317.7396467398819,PADT-A,0.1296467398818777,0.016808277161999254,,0.0004081947667953707,offline,train
co2_levels,40,317.89,317.75589212224287,PADT-A,0.13410787775711697,0.017984922876517827,,0.0004218688154931485,offline,train
co2_levels,41,318.09,317.90082327546963,PADT-A,0.1891767245303413,0.03578783310402863,,0.0005947270411843858,offline,train
co2_levels,42,317.92,318.00003640033833,PADT-A,0.08003640033831516,0.006405825379115055,,0.0002517501268819677,offline,train
co2_levels,43,318.34,318.02445630947847,PADT-A,0.3155436905215083,0.09956782062793343,,0.0009912159657017917,offline,train
co2_levels,44,318.0,318.3492415265956,PADT-A,0.3492415265956197,0.12196964389883894,,0.001098243794325848,offline,train
co2_levels,45,317.78,318.1411772718766,PADT-A,0.3611772718766133,0.13044902172023304,,0.0011365638865775485,offline,train
co2_levels,46,317.89,317.9204607674052,PADT-A,0.030460767405202205,0.0009278583509138291,,9.582172262481426e-05,offline,train
co2_levels,47,317.89,318.02482857000984,PADT-A,0.1348285700098586,0.01817874329090334,,0.00042413592755311143,offline,train
co2_levels,48,318.39,318.01998270197527,PADT-A,0.3700172980247203,0.13691280083751467,,0.0011621511291960184,offline,train
co2_levels,49,318.24,318.3454713922034,PADT-A,0.1054713922034125,0.011124214573326064,,0.0003314209156718593,offline,train
co2_levels,50,318.16,318.3746132326104,PADT-A,0.21461323261036114,0.04605883961146898,,0.0006745449855744314,offline,train
co2_levels,51,318.45,318.29234010688043,PADT-A,0.15765989311955764,0.02485664189847034,,0.0004950852351061631,offline,train
co2_levels,52,318.94,318.47745719552756,PADT-A,0.46254280447243445,0.21394584596922472,,0.001450250217822896,offline,train
co2_levels,53,318.71,318.96629629727846,PADT-A,0.2562962972784817,0.06568779199865986,,0.0008041677301574526,offline,train
co2_levels,54,319.18,318.84062805493767,PADT-A,0.33937194506233936,0.1151733170953955,,0.0010632619370334587,offline,train
co2_levels,55,318.46,319.20768228977283,PADT-A,0.7476822897728539,0.5590288064399779,,0.0023478059717793568,offline,train
co2_levels,56,318.59,318.5917417304555,PADT-A,0.001741730455535162,3.033624979738723e-06,,5.466996627437026e-06,offline,train
co2_levels,57,318.47,318.7224347273241,PADT-A,0.25243472732410055,0.063723291559193,,0.000792648372920842,offline,train
